cond,score,surv_time,viol_total,wez_time,score_heldout,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples,family
RL-s10-b100-a1.00,0.6575,116.31299999999553,0.05886257774357546,0.7929999999999994,0.735,9.0,4.0,9.0,17.0,0.9116172176148635,379.0,34602,RL
RL-s18-b200-a1.00,0.655,115.68874999999557,0.03827030711124603,0.41449999999999987,0.695,6.0,1.0,6.0,17.0,0.9404969833091287,62.0,34901,RL
RL-s11-b125-a1.00,0.6525000000000001,116.2404999999955,0.0362764657193286,0.35749999999999993,0.67,6.0,2.0,6.0,17.0,0.9424480387902928,57.0,35043,RL
RL-s19-b225-a1.00,0.6525000000000001,113.51224999999565,0.041009949706379195,0.45149999999999996,0.665,5.0,2.0,5.0,17.0,0.949389695662553,32.0,34225,RL
RL-s11-b275-a1.00,0.65,116.32174999999552,0.030449962846476036,0.4234999999999998,0.63,5.0,3.0,5.0,17.0,0.9257001723492392,30.0,34506,RL
RL-s14-b150-a1.00,0.6475,115.80749999999553,0.046285232518278985,0.5267499999999997,0.66,7.0,3.0,7.0,17.0,0.9195263158662144,116.0,34930,RL
RL-s12-b50-a1.00,0.6475,107.623749999996,0.06779073058696428,1.4132499999999986,0.755,7.0,3.0,7.0,17.0,0.9302581135798124,117.0,32745,RL
RL-s11-b200-a1.00,0.6425000000000001,115.91774999999552,0.032725568970353947,0.3494999999999999,0.63,5.0,3.0,5.0,17.0,0.9389176281624637,32.0,34836,RL
RL-s13-b200-a1.00,0.64,114.29324999999562,0.03393521417021934,0.42075,0.645,6.0,4.0,6.0,17.0,0.9195536257491495,64.0,34514,RL
RL-s16-b125-a1.00,0.64,116.91024999999546,0.04546863726286518,0.4474999999999999,0.65,5.0,3.0,5.0,17.0,0.9355770875305707,32.0,35954,RL
RL-s14-b100-a1.00,0.6399999999999999,110.19474999999585,0.04846725261148853,1.2254999999999987,0.705,7.0,4.0,7.0,17.0,0.9141956363345792,114.0,32970,RL
RL-s8-b75-a1.00,0.635,115.71674999999556,0.03783396559610036,0.4854999999999998,0.6,4.0,2.0,4.0,17.0,0.9516772455578955,15.0,35122,RL
RL-s18-b50-a1.00,0.635,94.8497499999967,0.1836578351654735,1.8514999999999984,0.83,17.0,11.0,17.0,17.0,0.7733994622610361,4198.0,28908,RL
RL-s16-b100-a1.00,0.6325000000000001,116.63449999999548,0.03588386012548053,0.28925,0.64,6.0,3.0,6.0,17.0,0.9270838463658924,64.0,35218,RL
RL-s19-b125-a1.00,0.6325000000000001,112.04799999999574,0.04411581446459771,0.3654999999999998,0.625,4.0,1.0,4.0,17.0,0.9569572188123834,16.0,34388,RL
RL-s9-b25-a1.00,0.63,109.53174999999587,0.06949792051630305,1.0287499999999987,0.71,5.0,3.0,5.0,17.0,0.939403124961999,32.0,33630,RL
RL-s19-b200-a1.00,0.6275,115.85524999999552,0.03419307315439366,0.4427500000000001,0.63,4.0,2.0,4.0,17.0,0.9620612428693085,16.0,35266,RL
RL-s16-b300-a1.00,0.6275,113.05299999999568,0.06856025867071527,0.7584999999999994,0.72,17.0,5.0,17.0,17.0,0.8991041823480044,3457.0,35019,RL
RL-s11-b175-a1.00,0.625,116.0399999999955,0.03962079250934851,0.3132500000000001,0.625,6.0,3.0,6.0,17.0,0.9334567182047067,63.0,34322,RL
RL-s18-b300-a1.00,0.625,113.66524999999564,0.041764350124611146,0.5092499999999999,0.61,9.0,3.0,9.0,17.0,0.932946122094987,358.0,34247,RL
RL-s8-b200-a1.00,0.625,111.0299999999958,0.04507942812622455,0.6777499999999993,0.67,9.0,3.0,9.0,17.0,0.922667654618445,362.0,33455,RL
RL-s8-b225-a1.00,0.6225,116.10399999999552,0.03224360153828959,0.3194999999999999,0.625,7.0,4.0,7.0,17.0,0.9256251409192178,109.0,35253,RL
RL-s19-b150-a1.00,0.6225,115.97224999999554,0.035713780844827625,0.3219999999999999,0.615,5.0,2.0,5.0,17.0,0.9460288215313193,32.0,35756,RL
RL-s11-b150-a1.00,0.62,115.0829999999956,0.03593447384039258,0.31525,0.58,5.0,3.0,5.0,17.0,0.9392463578309319,32.0,34395,RL
RL-s11-b250-a1.00,0.62,110.41149999999584,0.06290939602579604,0.9187499999999991,0.61,7.0,4.0,7.0,17.0,0.9205284159868509,114.0,33560,RL
RL-s9-b75-a1.00,0.62,101.15849999999634,0.08408181762666705,1.4034999999999984,0.69,9.0,3.0,9.0,17.0,0.9211570323787518,380.0,30331,RL
RL-s17-b100-a1.00,0.62,113.22599999999566,0.0638380250742682,0.7464999999999995,0.7,9.0,4.0,9.0,17.0,0.9019072023828242,329.0,33825,RL
RL-s16-b50-a1.00,0.62,113.47849999999566,0.050194629160224866,0.794999999999999,0.65,8.0,4.0,8.0,17.0,0.9133659457656421,208.0,34692,RL
RL-s8-b300-a1.00,0.62,116.65024999999548,0.0467423369775858,0.3414999999999999,0.635,7.0,4.0,7.0,17.0,0.9101923367475905,109.0,34562,RL
RL-s8-b250-a1.00,0.6174999999999999,118.70874999999539,0.031076217065771426,0.3237499999999999,0.62,8.0,4.0,8.0,17.0,0.9053106631868783,189.0,36060,RL
RL-s8-b100-a1.00,0.6174999999999999,114.66524999999561,0.034457496669407145,0.23524999999999996,0.61,3.0,2.0,3.0,17.0,0.9633995657977794,8.0,34637,RL
RL-s18-b100-a1.00,0.6100000000000001,112.93949999999568,0.06763873156365413,0.9497499999999992,0.68,16.0,4.0,16.0,17.0,0.9033785744172275,2977.0,34526,RL
RL-s14-b75-a1.00,0.61,112.50599999999571,0.051265511429575666,0.8644999999999989,0.655,8.0,4.0,8.0,17.0,0.9135483278539421,199.0,32982,RL
RL-s15-b150-a1.00,0.605,114.57349999999559,0.03903223674545289,0.35099999999999987,0.6,4.0,1.0,4.0,17.0,0.9612452641282084,16.0,34727,RL
