cond,d_star_common,d_star_090_common,d_star_099_common,f4_common,coverage_entropy,coverage_std
RL-s9-b200-a1.00,16.0,3.0,17.0,0.921412603362601,0.6514365190225244,0.23111396272660292
RL-s9-b225-a1.00,9.0,5.0,17.0,0.8910466654443157,0.6733569229002111,0.2435832059304052
RL-s9-b250-a1.00,6.0,2.0,17.0,0.9306819203702688,0.6620524059546643,0.22442246188133647
RL-s9-b275-a1.00,17.0,5.0,17.0,0.8949473970570302,0.6789960197488905,0.22703986048542166
RL-s9-b300-a1.00,8.0,4.0,17.0,0.908095828196193,0.6683916098093257,0.22425093547932454
RL-s10-b25-a1.00,17.0,6.0,17.0,0.8794170113092147,0.7108668784686388,0.24848034653230466
RL-s10-b50-a1.00,17.0,5.0,17.0,0.8924416484977006,0.7041218089783142,0.25500374616413685
RL-s10-b75-a1.00,17.0,5.0,17.0,0.8929297904330772,0.652225757437515,0.23557498519261721
RL-s10-b100-a1.00,17.0,8.0,17.0,0.8696997162744681,0.7045646724407986,0.2575789645918951
RL-s10-b125-a1.00,17.0,5.0,17.0,0.8879913671033417,0.7080171401501961,0.31568277699769504
RL-s10-b150-a1.00,17.0,17.0,17.0,0.7836059527777659,0.6658342630446182,0.27908971691572726
RL-s10-b175-a1.00,17.0,17.0,17.0,0.7657521438329202,0.6786390434436278,0.26596811019317507
RL-s10-b200-a1.00,17.0,13.0,17.0,0.7905439377314861,0.6923917642763234,0.2501538298555522
RL-s10-b225-a1.00,17.0,8.0,17.0,0.8247797288953393,0.6856891400532727,0.24787123174467618
RL-s10-b250-a1.00,17.0,7.0,17.0,0.8518558631623162,0.6870562931659936,0.253318390025603
RL-s10-b275-a1.00,17.0,6.0,17.0,0.8757840280903105,0.6421185245537917,0.25278451409905417
RL-s10-b300-a1.00,17.0,7.0,17.0,0.8298398183404143,0.691967348804772,0.26279575229864127
RL-s11-b25-a1.00,17.0,9.0,17.0,0.8285678554243688,0.7065540494895504,0.267011190813146
RL-s11-b50-a1.00,17.0,10.0,17.0,0.8281363142987427,0.7053745590147645,0.2666435051324796
RL-s11-b75-a1.00,17.0,14.0,17.0,0.837886334339328,0.7094755519434147,0.27607945566160813
RL-s11-b100-a1.00,17.0,6.0,17.0,0.8830744840707403,0.6933578049535416,0.2500453554642803
RL-s11-b125-a1.00,17.0,7.0,17.0,0.8936215460880039,0.6130031534519704,0.22653556961118018
RL-s11-b150-a1.00,17.0,10.0,17.0,0.8379673560580503,0.6889791260132183,0.2582873964116156
RL-s11-b175-a1.00,17.0,17.0,17.0,0.8266729834760888,0.6888369812404574,0.2570454041261392
RL-s11-b200-a1.00,17.0,17.0,17.0,0.8300407459859447,0.6930122382297792,0.2613688398095036
RL-s11-b225-a1.00,17.0,17.0,17.0,0.8257386652283147,0.6871983422583391,0.2557034016062579
RL-s11-b250-a1.00,17.0,17.0,17.0,0.8320199083234462,0.7038666104672306,0.2874869857563752
RL-s11-b275-a1.00,17.0,17.0,17.0,0.8379677143967923,0.6840273987183457,0.2475450318623571
RL-s11-b300-a1.00,8.0,2.0,17.0,0.9246126125943372,0.6319284359777754,0.22676534799090514
RL-s12-b25-a1.00,7.0,4.0,17.0,0.9162741712039156,0.6733461666159767,0.22693934391937604
RL-s12-b50-a1.00,7.0,3.0,17.0,0.9256887522540751,0.6636424740772099,0.23252892151489898
RL-s12-b75-a1.00,8.0,3.0,17.0,0.9236381444842612,0.6593171248532959,0.23444378582945022
RL-s12-b100-a1.00,8.0,4.0,17.0,0.9065033441795021,0.6348282430120828,0.2241534946167541
RL-s12-b125-a1.00,17.0,5.0,17.0,0.8942163487280357,0.6678271014686425,0.23359959811051043
RL-s12-b150-a1.00,8.0,4.0,17.0,0.9038095656692926,0.6440841856837023,0.22955429424911103
RL-s12-b175-a1.00,17.0,7.0,17.0,0.8530137263343072,0.6718723634359194,0.254322553640401
RL-s12-b200-a1.00,17.0,5.0,17.0,0.8857940937368987,0.6710552794775473,0.24583161206416007
RL-s12-b225-a1.00,17.0,5.0,17.0,0.8997176445020756,0.6473024790353237,0.24700745906874086
RL-s12-b250-a1.00,17.0,5.0,17.0,0.8999409688998931,0.6265150904777977,0.2418145481894818
RL-s12-b275-a1.00,17.0,8.0,17.0,0.813656305450434,0.659817226394733,0.2578847129564927
RL-s12-b300-a1.00,17.0,6.0,17.0,0.8731116942301118,0.6362842855337522,0.2480545055380244
RL-s13-b25-a1.00,8.0,4.0,17.0,0.9168270208495376,0.7082613651894132,0.2611061199273982
RL-s13-b50-a1.00,17.0,5.0,17.0,0.888534477150277,0.6928404818395674,0.23412720020592306
RL-s13-b75-a1.00,7.0,4.0,17.0,0.9240756121207739,0.6561553753508511,0.22670623561357117
RL-s13-b100-a1.00,17.0,5.0,17.0,0.8896765555094575,0.6683805195645498,0.23426557387389335
RL-s13-b125-a1.00,17.0,5.0,17.0,0.899292823006274,0.6476550041647468,0.2186471691079859
RL-s13-b150-a1.00,17.0,7.0,17.0,0.8401002676920631,0.7025353893806502,0.24216802062527912
RL-s13-b175-a1.00,17.0,8.0,17.0,0.8389696165759192,0.6759284263166347,0.2530103118607695
RL-s13-b200-a1.00,17.0,16.0,17.0,0.7836842631090007,0.6758830348044625,0.25901773533429573
RL-s13-b225-a1.00,17.0,5.0,17.0,0.8759995008780381,0.6795538785684441,0.2586739061199836
RL-s13-b250-a1.00,17.0,8.0,17.0,0.8389314222366525,0.6427294302954878,0.27008128691485195
RL-s13-b275-a1.00,17.0,6.0,17.0,0.8764000898268359,0.6831813105357301,0.2563532905356735
RL-s13-b300-a1.00,17.0,17.0,17.0,0.7821679714484252,0.6965095058021885,0.24851157083884365
RL-s14-b25-a1.00,17.0,7.0,17.0,0.8608504248419382,0.7073975589860036,0.26094208853040074
RL-s14-b50-a1.00,17.0,7.0,17.0,0.8540192230213036,0.6549428017484695,0.23594749713534902
RL-s14-b75-a1.00,17.0,7.0,17.0,0.8578232124950695,0.6984455934155789,0.2311057245949399
RL-s14-b100-a1.00,17.0,7.0,17.0,0.8528386762710608,0.697214422054259,0.24315024072072902
