cond,opponent,wins,losses,pure_winrate,p_raw,p_holm,significant
RL-s13-b175-a1.00,BT-v2,54,15,0.782608695652174,2.612848003590018e-06,0.0004990539686856935,True
RL-s13-b175-a1.00,BT-v3,59,22,0.7283950617283951,4.769842118193509e-05,0.007297858440836069,True
RL-s13-b200-a1.00,BT-v2,45,18,0.7142857142857143,0.0008980471786680215,0.10058128401081841,False
RL-s13-b200-a1.00,BT-v3,53,24,0.6883116883116883,0.0012632268710478355,0.13642850207316623,False
RL-s13-b225-a1.00,BT-v2,57,12,0.8260869565217391,3.7422494875036195e-08,8.719441305883433e-06,True
RL-s13-b225-a1.00,BT-v3,58,15,0.7945205479452054,4.0931991166650604e-07,8.472922171496675e-05,True
RL-s13-b25-a1.00,BT-v2,27,37,0.421875,0.26043547657665356,1.0,False
RL-s13-b25-a1.00,BT-v3,30,33,0.47619047619047616,0.8013064925040663,1.0,False
RL-s13-b250-a1.00,BT-v2,58,15,0.7945205479452054,4.0931991166650604e-07,8.472922171496675e-05,True
RL-s13-b250-a1.00,BT-v3,64,18,0.7804878048780488,3.3155201688475004e-07,6.962592354579751e-05,True
RL-s13-b275-a1.00,BT-v2,60,14,0.8108108108108109,6.221761416347879e-08,1.4157650281641787e-05,True
RL-s13-b275-a1.00,BT-v3,77,11,0.875,2.401553173434181e-13,6.652302290412682e-11,True
RL-s13-b300-a1.00,BT-v2,52,16,0.7647058823529411,1.4074155775977473e-05,0.002519273883899968,True
RL-s13-b300-a1.00,BT-v3,55,19,0.7432432432432432,3.376813810738312e-05,0.005436670235288682,True
RL-s13-b50-a1.00,BT-v2,30,20,0.6,0.20263875106454066,1.0,False
RL-s13-b50-a1.00,BT-v3,33,23,0.5892857142857143,0.2288055412343561,1.0,False
RL-s13-b75-a1.00,BT-v2,31,15,0.6739130434782609,0.02589608179323477,1.0,False
RL-s13-b75-a1.00,BT-v3,72,11,0.8674698795180723,3.918121146030225e-12,1.0539745882821305e-09,True
RL-s14-b100-a1.00,BT-v2,30,15,0.6666666666666666,0.035697803555194696,1.0,False
RL-s14-b100-a1.00,BT-v3,56,15,0.7887323943661971,1.0414019304757919e-06,0.00020723898416468258,True
RL-s14-b125-a1.00,BT-v2,34,11,0.7555555555555555,0.0008240823595997425,0.09394538899437065,False
RL-s14-b125-a1.00,BT-v3,61,16,0.7922077922077922,2.4176312825015983e-07,5.17373094455342e-05,True
RL-s14-b150-a1.00,BT-v2,44,17,0.7213114754098361,0.0007299045109347685,0.08466892326843314,False
RL-s14-b150-a1.00,BT-v3,49,17,0.7424242424242424,0.0001014771231679886,0.014815659982526336,True
RL-s14-b175-a1.00,BT-v2,50,14,0.78125,7.069487542545679e-06,0.0013007857078284049,True
RL-s14-b175-a1.00,BT-v3,67,14,0.8271604938271605,1.8890284038209304e-09,4.7414612935905354e-07,True
RL-s14-b200-a1.00,BT-v2,39,15,0.7222222222222222,0.0014962588853935084,0.15411466519553135,False
RL-s14-b200-a1.00,BT-v3,69,12,0.8518518518518519,7.033000834768929e-11,1.8215472162051524e-08,True
RL-s14-b225-a1.00,BT-v2,49,16,0.7538461538461538,5.084767048790175e-05,0.007728845914161065,True
RL-s14-b225-a1.00,BT-v3,74,12,0.8604651162790697,4.689760491914722e-12,1.2568558118331454e-09,True
RL-s14-b25-a1.00,BT-v2,11,53,0.171875,1.0058579844832594e-07,2.233004725552836e-05,True
RL-s14-b25-a1.00,BT-v3,27,53,0.3375,0.004868154149559423,0.39918864026387274,False
RL-s14-b250-a1.00,BT-v2,59,16,0.7866666666666666,6.114156572521501e-07,0.00012411737842218647,True
RL-s14-b250-a1.00,BT-v3,66,16,0.8048780487804879,2.251979591393417e-08,5.382231223430267e-06,True
RL-s14-b275-a1.00,BT-v2,48,8,0.8571428571428571,4.688184102041859e-08,1.0782823434696276e-05,True
RL-s14-b275-a1.00,BT-v3,73,11,0.8690476190476191,2.2490938201170897e-12,6.095044252517313e-10,True
RL-s14-b300-a1.00,BT-v2,45,17,0.7258064516129032,0.0004970915863810334,0.06014808195210505,False
RL-s14-b300-a1.00,BT-v3,65,14,0.8227848101265823,5.194941262584353e-09,1.2883454331209194e-06,True
RL-s14-b50-a1.00,BT-v2,26,14,0.65,0.0806904677519924,1.0,False
RL-s14-b50-a1.00,BT-v3,29,19,0.6041666666666666,0.19341265286193737,1.0,False
RL-s14-b75-a1.00,BT-v2,31,18,0.6326530612244898,0.08543313315739454,1.0,False
RL-s14-b75-a1.00,BT-v3,47,16,0.746031746031746,0.00011705541630032304,0.01662186911464587,True
RL-s15-b100-a1.00,BT-v2,41,13,0.7592592592592593,0.00017512673440589485,0.023642109144795805,True
RL-s15-b100-a1.00,BT-v3,65,9,0.8783783783783784,1.3509940352772294e-11,3.5666242531318857e-09,True
RL-s15-b125-a1.00,BT-v2,39,14,0.7358490566037735,0.0008023308868949641,0.09226805199292087,False
RL-s15-b125-a1.00,BT-v3,84,4,0.9545454545454546,1.5803951224724757e-20,4.519930050271281e-18,True
RL-s15-b150-a1.00,BT-v2,34,12,0.7391304347826086,0.0016414913408482334,0.15922466006227864,False
RL-s15-b150-a1.00,BT-v3,39,19,0.6724137931034483,0.011928139715763179,0.8707541992507121,False
RL-s15-b175-a1.00,BT-v2,34,19,0.6415094339622641,0.053438810537711046,1.0,False
RL-s15-b175-a1.00,BT-v3,45,23,0.6617647058823529,0.01033766119369546,0.785662250720855,False
RL-s15-b200-a1.00,BT-v2,29,19,0.6041666666666666,0.19341265286193737,1.0,False
RL-s15-b200-a1.00,BT-v3,33,25,0.5689655172413793,0.358143301806138,1.0,False
RL-s15-b225-a1.00,BT-v2,48,19,0.7164179104477612,0.000521612756811516,0.06259353081738192,False
RL-s15-b225-a1.00,BT-v3,61,15,0.8026315789473685,9.842847414734726e-08,2.2047978209005786e-05,True
RL-s15-b25-a1.00,BT-v2,33,34,0.4925373134328358,1.0,1.0,False
RL-s15-b25-a1.00,BT-v3,50,18,0.7352941176470589,0.00013083876154198454,0.018317426615877836,True
RL-s15-b250-a1.00,BT-v2,37,24,0.6065573770491803,0.12373144253809215,1.0,False
RL-s15-b250-a1.00,BT-v3,39,27,0.5909090909090909,0.17528579444303533,1.0,False
RL-s15-b275-a1.00,BT-v2,43,16,0.7288135593220338,0.0005843646280443461,0.06895502610923285,False
RL-s15-b275-a1.00,BT-v3,60,7,0.8955223880597015,1.3280368233066496e-11,3.5192975817626214e-09,True
RL-s15-b300-a1.00,BT-v2,61,18,0.7721518987341772,1.269697436840429e-06,0.0002488606976207241,True
RL-s15-b300-a1.00,BT-v3,63,15,0.8076923076923077,3.748661169432698e-08,8.719441305883433e-06,True
RL-s15-b50-a1.00,BT-v2,32,15,0.6808510638297872,0.018623836615006432,1.0,False
RL-s15-b50-a1.00,BT-v3,63,8,0.8873239436619719,1.0271364278048329e-11,2.742454262238904e-09,True
RL-s15-b75-a1.00,BT-v2,32,16,0.6666666666666666,0.029304946720529308,1.0,False
RL-s15-b75-a1.00,BT-v3,66,10,0.868421052631579,2.960046439225788e-11,7.755321670771564e-09,True
RL-s16-b100-a1.00,BT-v2,41,16,0.7192982456140351,0.001263559472435463,0.13642850207316623,False
RL-s16-b100-a1.00,BT-v3,43,15,0.7413793103448276,0.000306947015546566,0.03928921798996045,True
RL-s16-b125-a1.00,BT-v2,40,14,0.7407407407407407,0.0005354355028570622,0.0637168248399904,False
RL-s16-b125-a1.00,BT-v3,43,13,0.7678571428571429,7.333218396948782e-05,0.010853163227484197,True
RL-s16-b150-a1.00,BT-v2,47,13,0.7833333333333333,1.2146708022957309e-05,0.0021864074441323156,True
RL-s16-b150-a1.00,BT-v3,60,13,0.821917808219178,2.3070738505242644e-08,5.490835764247749e-06,True
RL-s16-b175-a1.00,BT-v2,48,14,0.7741935483870968,1.7428522601631996e-05,0.0030499914552855993,True
RL-s16-b175-a1.00,BT-v3,51,17,0.75,4.453448771493584e-05,0.0069919145712449265,True
RL-s16-b200-a1.00,BT-v2,47,12,0.7966101694915254,5.1256292496887346e-06,0.0009533670404421046,True
RL-s16-b200-a1.00,BT-v3,49,16,0.7538461538461538,5.084767048790175e-05,0.007728845914161065,True
RL-s16-b225-a1.00,BT-v2,32,14,0.6956521739130435,0.011351591436778108,0.84001776632158,False
RL-s16-b225-a1.00,BT-v3,39,17,0.6964285714285714,0.004561532746408219,0.3786072179518822,False
RL-s16-b25-a1.00,BT-v2,29,28,0.5087719298245614,1.0,1.0,False
RL-s16-b25-a1.00,BT-v3,91,6,0.9381443298969072,1.3331565348493778e-20,3.8261592550177146e-18,True
RL-s16-b250-a1.00,BT-v2,25,17,0.5952380952380952,0.27995623852893914,1.0,False
RL-s16-b250-a1.00,BT-v3,34,13,0.723404255319149,0.0030876764615186394,0.2809785579981962,False
RL-s16-b275-a1.00,BT-v2,48,20,0.7058823529411765,0.0009143907212875585,0.10058297934163143,False
RL-s16-b275-a1.00,BT-v3,52,16,0.7647058823529411,1.4074155775977473e-05,0.002519273883899968,True
RL-s16-b300-a1.00,BT-v2,28,21,0.5714285714285714,0.3916029105474905,1.0,False
RL-s16-b300-a1.00,BT-v3,58,14,0.8055555555555556,1.6464300115968573e-07,3.589217425281149e-05,True
RL-s16-b50-a1.00,BT-v2,34,16,0.68,0.015346677832630107,1.0,False
RL-s16-b50-a1.00,BT-v3,49,19,0.7205882352941176,0.00035795527161316536,0.044765420947566296,True
RL-s16-b75-a1.00,BT-v2,17,26,0.3953488372093023,0.2220528201560228,1.0,False
RL-s16-b75-a1.00,BT-v3,24,21,0.5333333333333333,0.765991824244793,1.0,False
RL-s17-b100-a1.00,BT-v2,26,18,0.5909090909090909,0.2912152365458951,1.0,False
RL-s17-b100-a1.00,BT-v3,54,14,0.7941176470588235,1.109725672785106e-06,0.000219725683211451,True
RL-s17-b125-a1.00,BT-v2,43,19,0.6935483870967742,0.0031560602510210594,0.28404542259189536,False
RL-s17-b125-a1.00,BT-v3,72,7,0.9113924050632911,1.059068672061396e-14,2.9548015950512947e-12,True
RL-s17-b150-a1.00,BT-v2,50,13,0.7936507936507936,3.0159520846423375e-06,0.0005730308960820442,True
RL-s17-b150-a1.00,BT-v3,60,14,0.8108108108108109,6.221761416347879e-08,1.4157650281641787e-05,True
RL-s17-b175-a1.00,BT-v2,41,30,0.5774647887323944,0.23509756240834187,1.0,False
RL-s17-b175-a1.00,BT-v3,44,25,0.6376811594202898,0.029493493531317295,1.0,False
RL-s17-b200-a1.00,BT-v2,48,17,0.7384615384615385,0.00015210657584807538,0.0209907074670344,True
RL-s17-b200-a1.00,BT-v3,69,11,0.8625,2.0495153187175896e-11,5.390225288227261e-09,True
RL-s17-b225-a1.00,BT-v2,49,17,0.7424242424242424,0.0001014771231679886,0.014815659982526336,True
RL-s17-b225-a1.00,BT-v3,67,15,0.8170731707317073,5.2573169769006436e-09,1.2932999763175582e-06,True
RL-s17-b25-a1.00,BT-v2,26,28,0.48148148148148145,0.8919231511047488,1.0,False
RL-s17-b25-a1.00,BT-v3,31,29,0.5166666666666667,0.8974218269914307,1.0,False
RL-s17-b250-a1.00,BT-v2,51,16,0.7611940298507462,2.168923876071706e-05,0.0036871705893219003,True
RL-s17-b250-a1.00,BT-v3,49,17,0.7424242424242424,0.0001014771231679886,0.014815659982526336,True
RL-s17-b275-a1.00,BT-v2,47,25,0.6527777777777778,0.012774595538064901,0.8942216876645431,False
RL-s17-b275-a1.00,BT-v3,68,17,0.8,2.1750638050848603e-08,5.220153132203665e-06,True
RL-s17-b300-a1.00,BT-v2,56,20,0.7368421052631579,4.3689322062244415e-05,0.006902912885834617,True
RL-s17-b300-a1.00,BT-v3,56,13,0.8115942028985508,1.6837633430122172e-07,3.636928820906389e-05,True
RL-s17-b50-a1.00,BT-v2,36,22,0.6206896551724138,0.08694889972991102,1.0,False
RL-s17-b50-a1.00,BT-v3,42,16,0.7241379310344828,0.0008617822405421265,0.0973813931812603,False
RL-s17-b75-a1.00,BT-v2,13,72,0.15294117647058825,4.628573788074828e-11,1.2034291848994552e-08,True
RL-s17-b75-a1.00,BT-v3,41,47,0.4659090909090909,0.59428829514694,1.0,False
RL-s18-b100-a1.00,BT-v2,31,23,0.5740740740740741,0.3408909412200971,1.0,False
RL-s18-b100-a1.00,BT-v3,53,17,0.7571428571428571,1.919969240032143e-05,0.0033023470928552857,True
RL-s18-b125-a1.00,BT-v2,40,17,0.7017543859649122,0.0032015437674503813,0.28404542259189536,False
RL-s18-b125-a1.00,BT-v3,61,15,0.8026315789473685,9.842847414734726e-08,2.2047978209005786e-05,True
RL-s18-b150-a1.00,BT-v2,42,17,0.711864406779661,0.0015471669302425245,0.1578110268847375,False
RL-s18-b150-a1.00,BT-v3,77,8,0.9058823529411765,2.7675726722352094e-15,7.776879208980938e-13,True
RL-s18-b175-a1.00,BT-v2,52,17,0.7536231884057971,2.9304321745456655e-05,0.004747300122763978,True
RL-s18-b175-a1.00,BT-v3,47,16,0.746031746031746,0.00011705541630032304,0.01662186911464587,True
RL-s18-b200-a1.00,BT-v2,44,21,0.676923076923077,0.005918433252619306,0.47552733906871325,False
RL-s18-b200-a1.00,BT-v3,55,16,0.7746478873239436,3.753237688593051e-06,0.0007056086854554935,True
RL-s18-b225-a1.00,BT-v2,52,16,0.7647058823529411,1.4074155775977473e-05,0.002519273883899968,True
RL-s18-b225-a1.00,BT-v3,52,13,0.8,1.1688116132369708e-06,0.00023025588780768326,True
RL-s18-b25-a1.00,BT-v2,24,42,0.36363636363636365,0.03558272445223169,1.0,False
