opponent,cond_a,cond_b,mean_a,mean_b,diff,n,p_raw,p_holm,significant
BT-v3,RL-s0-b100-a1.00,RL-s1-b300-a1.00,0.82,0.76,0.05999999999999994,100,0.047895113929980325,0.8621120507396458,False
BT-v3,RL-s0-b200-a1.00,RL-s0-b300-a1.00,0.6875,0.7875,-0.09999999999999998,100,0.004819714165803642,0.11317578195748573,False
BT-v3,RL-s0-b200-a1.00,RL-s1-b100-a1.00,0.6875,0.6775,0.010000000000000009,100,0.5911590992672567,1.0,False
BT-v3,RL-s0-b200-a1.00,RL-s1-b200-a1.00,0.6875,0.72,-0.03249999999999997,100,0.3423323042095907,1.0,False
BT-v3,RL-s0-b200-a1.00,RL-s1-b300-a1.00,0.6875,0.76,-0.07250000000000001,100,0.09817720278632022,1.0,False
BT-v3,RL-s0-b300-a1.00,RL-s1-b100-a1.00,0.7875,0.6775,0.10999999999999999,100,0.0005222393750592696,0.01618942062683736,True
BT-v3,RL-s0-b300-a1.00,RL-s1-b200-a1.00,0.7875,0.72,0.0675,100,0.01984688198061646,0.41678452159294566,False
BT-v3,RL-s0-b300-a1.00,RL-s1-b300-a1.00,0.7875,0.76,0.02749999999999997,100,0.30098090019868406,1.0,False
BT-v3,RL-s1-b100-a1.00,RL-s1-b200-a1.00,0.6775,0.72,-0.04249999999999998,100,0.18608329802624057,1.0,False
BT-v3,RL-s1-b100-a1.00,RL-s1-b300-a1.00,0.6775,0.76,-0.08250000000000002,100,0.012934566523336648,0.28456046351340625,False
BT-v3,RL-s1-b200-a1.00,RL-s1-b300-a1.00,0.72,0.76,-0.040000000000000036,100,0.14753607772790653,1.0,False
