cond,score,surv_time,viol_total,wez_time,score_heldout,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples,family,train_seed,budget,alpha,bt_version,d_star_common,d_star_090_common,d_star_099_common,f4_common,coverage_entropy,coverage_std
HYB-s4-b300-a0.25,0.62875,105.18337499999602,0.0777053967415929,1.0061249999999986,0.7125,7.0,3.0,7.0,17.0,0.9187953769945288,114.0,30816,Hybrid,4,300,0.25,-1,17.0,4.0,17.0,0.9044016428024578,0.6711031819945953,0.2276839832806851
HYB-s2-b200-a0.50,0.62625,105.35912499999598,0.0633016764855086,0.7994999999999991,0.685,17.0,4.0,17.0,17.0,0.9129101854075468,3710.0,30590,Hybrid,2,200,0.5,-1,17.0,5.0,17.0,0.8864411669675342,0.6855240520328304,0.2304021022044343
HYB-s4-b200-a0.25,0.625,100.64499999999629,0.0938483882834889,1.1206249999999984,0.725,17.0,3.0,17.0,17.0,0.918659073387324,3759.0,30372,Hybrid,4,200,0.25,-1,17.0,4.0,17.0,0.9231835196743003,0.695484165255846,0.2376114891492523
HYB-s0-b200-a0.50,0.625,106.24587499999596,0.0603125799503569,0.7947499999999992,0.7,11.0,4.0,11.0,17.0,0.9044512892323534,730.0,30794,Hybrid,0,200,0.5,-1,17.0,5.0,17.0,0.892054181865159,0.7002586783193949,0.2361269267971447
HYB-s2-b300-a0.50,0.62375,104.368374999996,0.0583107693826767,0.4158749999999998,0.6525,17.0,4.0,17.0,17.0,0.9045914203631876,3737.0,28721,Hybrid,2,300,0.5,-1,17.0,6.0,17.0,0.8631216243114556,0.6942156096453227,0.2329428624864704
HYB-s0-b300-a0.50,0.62125,108.63124999999582,0.0566450184042631,0.5098749999999996,0.6425,6.0,3.0,6.0,17.0,0.936095347258068,63.0,32079,Hybrid,0,300,0.5,-1,17.0,5.0,17.0,0.8960986349796369,0.6655931514778624,0.2160022448731756
HYB-s0-b0-a0.75,0.62,104.54687499999608,0.0963365287213978,1.4192499999999983,0.8075,3.0,1.0,3.0,17.0,0.9669414511098692,8.0,30583,Hybrid,0,0,0.75,-1,4.0,1.0,17.0,0.9564058093040052,0.7198020739312921,0.2504591883784602
HYB-s0-b200-a0.25,0.61375,105.465624999996,0.0681517924179432,0.9437499999999986,0.7175,5.0,3.0,5.0,17.0,0.9320590267024784,32.0,30946,Hybrid,0,200,0.25,-1,17.0,4.0,17.0,0.904187227323048,0.6906779791818853,0.2263000916916598
HYB-s2-b300-a0.25,0.60875,103.81437499999606,0.0608259938905583,0.7788749999999992,0.6675,8.0,3.0,8.0,17.0,0.9308302765491548,206.0,30253,Hybrid,2,300,0.25,-1,17.0,4.0,17.0,0.9073806585670664,0.6791909588768864,0.227098071888319
HYB-s3-b100-a0.75,0.5862499999999999,112.6862499999957,0.042480310860587,0.6377499999999994,0.615,17.0,3.0,17.0,17.0,0.9144259229124556,4145.0,33241,Hybrid,3,100,0.75,-1,17.0,6.0,17.0,0.8848156503947563,0.6907743979290252,0.2447754135858134
HYB-s3-b200-a0.75,0.58125,114.63749999999555,0.0364985998209334,0.2854999999999999,0.615,17.0,4.0,17.0,17.0,0.901499695902172,5147.0,34335,Hybrid,3,200,0.75,-1,17.0,17.0,17.0,0.8311819143892266,0.6800285554003543,0.2363272143385345
HYB-s3-b100-a0.25,0.575,104.06074999999606,0.0673715108363433,0.6821249999999992,0.6425,17.0,5.0,17.0,17.0,0.8872240328305081,3154.0,31174,Hybrid,3,100,0.25,-1,17.0,5.0,17.0,0.897513333629491,0.6787484417916414,0.2376705485376002
HYB-s3-b300-a0.50,0.57125,105.764374999996,0.0599108183818798,0.7237499999999991,0.6425,17.0,4.0,17.0,17.0,0.9020781886196414,2696.0,30774,Hybrid,3,300,0.5,-1,17.0,5.0,17.0,0.8945826763849533,0.6712005769216959,0.2283657287824401
RL-s3-b100-a1.00,0.5475,113.45524999999566,0.0396086360790572,0.4264999999999996,0.5925,5.0,2.0,5.0,17.0,0.9467131246925043,32.0,34086,RL,3,100,1.0,-1,17.0,7.0,17.0,0.8811375308324992,0.6806637755938536,0.2527343503822602
HYB-s3-b100-a0.50,0.545,107.77962499999587,0.0516479019117759,0.5173749999999994,0.6025,17.0,3.0,17.0,17.0,0.9235997990903756,3769.0,32085,Hybrid,3,100,0.5,-1,17.0,9.0,17.0,0.8618145298561628,0.6858213475953424,0.2362469461607974
HYB-s3-b200-a0.25,0.53375,105.12887499999604,0.0538249124881959,0.6763749999999991,0.59,17.0,3.0,17.0,17.0,0.925234792953301,2805.0,31882,Hybrid,3,200,0.25,-1,17.0,4.0,17.0,0.9026553042911302,0.6648346484078422,0.2309842856905708
HYB-s3-b200-a0.50,0.53,106.74487499999594,0.0506788627375438,0.2746249999999999,0.57,17.0,6.0,17.0,17.0,0.8846948142955157,3082.0,32387,Hybrid,3,200,0.5,-1,17.0,17.0,17.0,0.8528413391465401,0.662652939205405,0.2264293826055078
BT-v3,0.32875,104.41774999999606,0.0080461914425815,0.33125,0.5,5.0,3.0,5.0,17.0,0.9402036139137072,28.0,31234,BT,-1,0,0.0,3,6.0,3.0,17.0,0.924591107706178,0.7203627516104031,0.2606980764944215
BT-v1,0.24125,98.32937499999636,0.0046903643040209,0.011375,0.2325,1.0,1.0,1.0,3.0,0.995244845451407,2.0,28033,BT,-1,0,0.0,1,4.0,1.0,8.0,0.9584892311481872,0.5697357870623475,0.3311851593551759
