cond,kill_win,timeout,wez,duration,dmg,family,score,d_star,fidelity_at_4,budget,cluster
RL-s0-b200-a1.00,0.09,0.8725,0.7159999999999995,115.73599999999554,17.9,RL,0.6950000000000001,4.0,0.952853330877906,200,C1
RL-s0-b300-a1.00,0.0075,0.9625,0.33862499999999995,117.05562499999546,8.465625,RL,0.72875,3.0,0.9657879878027142,300,C1
RL-s1-b100-a1.00,0.1725,0.725,1.0409999999999988,108.63637499999591,26.025,RL,0.6475,15.0,0.9259358984729622,100,C1
RL-s1-b200-a1.00,0.17,0.76,1.2809999999999988,112.96037499999571,32.025,RL,0.7475,17.0,0.9183590402195994,200,C1
RL-s1-b300-a1.00,0.335,0.6025,1.9426249999999976,110.41612499999586,48.565625,RL,0.785,17.0,0.8981994883402624,300,C1
RL-s2-b100-a1.00,0.185,0.7075,1.2458749999999987,109.4171249999959,31.146875,RL,0.6950000000000001,6.0,0.9293113844947402,100,C1
RL-s2-b200-a1.00,0.125,0.8325,0.9344999999999992,114.16837499999563,23.3625,RL,0.7262500000000001,7.0,0.9258647818832464,200,C1
RL-s2-b300-a1.00,0.0125,0.9275,0.593375,116.21037499999551,14.834375,RL,0.74625,6.0,0.923618598082829,300,C1
RL-s3-b100-a1.00,0.055,0.86,0.42649999999999966,113.45524999999567,10.6625,RL,0.5475,5.0,0.9467131246925043,100,C1
RL-s3-b200-a1.00,0.0075,0.94,0.389375,116.93112499999548,9.734375,RL,0.7,5.0,0.9311919272759568,200,C1
RL-s3-b300-a1.00,0.0325,0.9225,0.6156249999999999,114.34874999999562,15.390625,RL,0.7325,6.0,0.9314722870402548,300,C1
RL-s4-b100-a1.00,0.1575,0.7975,0.917499999999999,114.37187499999564,22.9375,RL,0.6475,7.0,0.9224582280886784,100,C1
RL-s4-b200-a1.00,0.2675,0.5875,1.5244999999999982,105.42099999999613,38.1125,RL,0.7375,6.0,0.9372885220838404,200,C1
RL-s4-b300-a1.00,0.0975,0.8525,0.8699999999999993,114.6563749999956,21.75,RL,0.755,5.0,0.9449104162582058,300,C1
