cond,kill_win,timeout,wez,duration,dmg,family,score,d_star,fidelity_at_4,budget,cluster
HYB-s11-b300-a0.25,0.19,0.69,1.0811249999999988,105.47699999999601,27.028125,Hybrid,0.62375,17.0,0.8868742929728278,300,C3
HYB-s11-b300-a0.50,0.1425,0.74,0.836124999999999,105.89812499999596,20.903125,Hybrid,0.6412500000000001,17.0,0.9222306504764438,300,C3
HYB-s11-b300-a0.75,0.1425,0.8225,0.9946249999999989,114.00762499999563,24.865625,Hybrid,0.7525,17.0,0.9291259469457938,300,C2
HYB-s12-b100-a0.25,0.1625,0.74,1.0448749999999989,105.51137499999601,26.121875,Hybrid,0.645,17.0,0.9192079409554064,100,C3
HYB-s12-b100-a0.50,0.1425,0.7175,0.9008749999999989,104.59049999999607,22.521875,Hybrid,0.63375,17.0,0.9057744666113736,100,C3
HYB-s12-b100-a0.75,0.17,0.795,1.1028749999999987,112.9629999999957,27.571875,Hybrid,0.69125,8.0,0.9358990673579032,100,C2
HYB-s12-b200-a0.25,0.195,0.7175,1.1886249999999985,105.60437499999601,29.715625,Hybrid,0.67625,17.0,0.9012115308474477,200,C3
HYB-s12-b200-a0.50,0.15,0.76,1.0703749999999987,107.06249999999592,26.759375,Hybrid,0.6625,17.0,0.9002204443464218,200,C4
HYB-s12-b200-a0.75,0.3,0.64,1.663499999999998,108.39987499999593,41.5875,Hybrid,0.7175,17.0,0.902995653726031,200,C4
HYB-s12-b300-a0.25,0.2275,0.6875,1.2882499999999986,105.32799999999605,32.20625,Hybrid,0.6737500000000001,17.0,0.909334157993626,300,C3
HYB-s12-b300-a0.50,0.17,0.7275,1.2338749999999987,105.989874999996,30.846875,Hybrid,0.7,17.0,0.9047625606308508,300,C4
HYB-s12-b300-a0.75,0.39,0.5475,2.1758749999999973,104.2511249999962,54.396875,Hybrid,0.80125,17.0,0.8875001259520536,300,C4
HYB-s13-b100-a0.25,0.1375,0.775,0.875624999999999,105.939624999996,21.890625,Hybrid,0.615,17.0,0.937190271063666,100,C3
HYB-s13-b100-a0.50,0.0925,0.8025,0.6798749999999992,107.01462499999595,16.996875,Hybrid,0.6325000000000001,9.0,0.9237582388381028,100,C3
HYB-s13-b100-a0.75,0.125,0.8375,0.8874999999999992,113.37624999999565,22.1875,Hybrid,0.6975,10.0,0.9177330983576988,100,C2
HYB-s13-b200-a0.25,0.1275,0.775,0.7443749999999991,105.10287499999603,18.609375,Hybrid,0.59375,7.0,0.9376037009682616,200,C3
HYB-s13-b200-a0.50,0.0175,0.885,0.37049999999999983,110.28524999999576,9.2625,Hybrid,0.62125,17.0,0.9276092133811668,200,C3
HYB-s13-b200-a0.75,0.005,0.9175,0.39175000000000004,115.68487499999554,9.79375,Hybrid,0.66,8.0,0.9197667478858972,200,C1
HYB-s13-b300-a0.25,0.1175,0.7725,0.7308749999999992,103.86862499999609,18.271875,Hybrid,0.6025,5.0,0.93340900936655,300,C3
HYB-s13-b300-a0.50,0.025,0.91,0.43412499999999987,112.76474999999566,10.853125,Hybrid,0.6475,6.0,0.9218151514976178,300,C1
HYB-s13-b300-a0.75,0.01,0.95,0.49612500000000004,116.1962499999955,12.403125,Hybrid,0.7050000000000001,17.0,0.9138826220140678,300,C1
HYB-s14-b100-a0.25,0.1425,0.79,0.846499999999999,107.90162499999592,21.1625,Hybrid,0.60625,17.0,0.9244037361721964,100,C3
HYB-s14-b100-a0.50,0.165,0.74,0.8958749999999989,105.47049999999601,22.396875,Hybrid,0.645,17.0,0.9077792371424244,100,C3
HYB-s14-b100-a0.75,0.22,0.705,1.2437499999999984,108.58424999999593,31.09375,Hybrid,0.6725000000000001,17.0,0.9261568225989584,100,C2
HYB-s14-b200-a0.25,0.165,0.7275,0.9507499999999989,104.10724999999607,23.76875,Hybrid,0.6174999999999999,17.0,0.9161417778160668,200,C3
HYB-s14-b200-a0.50,0.1925,0.71,1.0171249999999987,105.58324999999603,25.428125,Hybrid,0.65625,17.0,0.8975016413692503,200,C3
HYB-s14-b200-a0.75,0.255,0.6225,1.3928749999999983,106.38212499999605,34.821875,Hybrid,0.685,17.0,0.8956950824138111,200,C4
