cond,score,surv_time,viol_total,wez_time,score_heldout,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples,family,train_seed,budget,alpha,bt_version,d_star_common,d_star_090_common,d_star_099_common,f4_common,coverage_entropy,coverage_std
HYB-s0-b0-a0.75,0.62,104.54687499999608,0.0963365287213978,1.4192499999999983,0.8075,3.0,1.0,3.0,17.0,0.9669414511098692,8.0,30583,Hybrid,0,0,0.75,-1,4.0,1.0,17.0,0.956003616448495,0.7198020739312921,0.2504591883784602
HYB-s16-b100-a0.25,0.6174999999999999,101.3619999999962,0.0595772724930478,0.8688749999999988,0.67,17.0,3.0,17.0,17.0,0.9236870626386792,3193.0,30230,Hybrid,16,100,0.25,-1,5.0,3.0,17.0,0.9396575520083,0.6800951568082476,0.2257752769695387
HYB-s10-b100-a0.25,0.6174999999999999,102.83162499999614,0.0854849090884669,0.9848749999999988,0.71,17.0,3.0,17.0,17.0,0.9211928523781558,3335.0,30491,Hybrid,10,100,0.25,-1,6.0,3.0,17.0,0.9397738336224364,0.6884570600109579,0.2304659284170593
HYB-s14-b200-a0.25,0.6174999999999999,104.10724999999609,0.0679942983396273,0.9507499999999992,0.7325,17.0,4.0,17.0,17.0,0.9161417778160668,4625.0,31617,Hybrid,14,200,0.25,-1,6.0,4.0,17.0,0.9269492375815416,0.6916257360338912,0.233587732680133
HYB-s13-b100-a0.25,0.615,105.93962499999598,0.0588119602195991,0.8756249999999991,0.675,17.0,3.0,17.0,17.0,0.937190271063666,3450.0,32944,Hybrid,13,100,0.25,-1,5.0,3.0,17.0,0.9353012124781136,0.661112733437001,0.2182535713021259
SHD-s6-b300,0.615,111.8067499999957,0.0058301026444259,0.3806249999999999,0.6475,6.0,4.0,6.0,17.0,0.9287114774100091,63.0,33828,Shield,6,300,1.0,-1,17.0,7.0,17.0,0.80359591320234,0.6758397380527308,0.2650555480632056
HYB-s7-b300-a0.50,0.615,107.75699999999593,0.0561825371068538,0.792874999999999,0.67,17.0,4.0,17.0,17.0,0.9088033788885204,4062.0,33184,Hybrid,7,300,0.5,-1,17.0,5.0,17.0,0.8895730629420194,0.6784791997446202,0.2315803619946089
HYB-s6-b200-a0.25,0.615,102.93899999999614,0.067435159917255,0.9432499999999988,0.705,17.0,3.0,17.0,17.0,0.920482767334806,3531.0,32929,Hybrid,6,200,0.25,-1,6.0,4.0,17.0,0.9338612178080168,0.6782032303675014,0.227439642317815
HYB-s15-b100-a0.25,0.61375,104.76237499999608,0.0751744147484348,1.041249999999999,0.73,17.0,3.0,17.0,17.0,0.9222487292731408,3281.0,30881,Hybrid,15,100,0.25,-1,5.0,2.0,17.0,0.9405414427025516,0.6944467965261926,0.2353418616263851
HYB-s0-b200-a0.25,0.61375,105.465624999996,0.0681517924179432,0.9437499999999986,0.7175,5.0,3.0,5.0,17.0,0.9320590267024784,32.0,30946,Hybrid,0,200,0.25,-1,5.0,3.0,17.0,0.9385329262171376,0.6906779791818853,0.2263000916916598
HYB-s7-b200-a0.50,0.61375,106.117374999996,0.0758234857622233,0.9246249999999988,0.7325,17.0,4.0,17.0,17.0,0.9005422060376427,3466.0,31550,Hybrid,7,200,0.5,-1,17.0,6.0,17.0,0.874589855673242,0.7222710993368618,0.257099873749106
HYB-s19-b300-a0.50,0.61375,110.87387499999576,0.051207182735605,0.6466249999999993,0.6625,17.0,3.0,17.0,17.0,0.922022884924966,4201.0,33426,Hybrid,19,300,0.5,-1,17.0,5.0,17.0,0.894910097785473,0.6695915638880842,0.2254497466446511
HYB-s6-b300-a0.25,0.6112500000000001,106.58349999999596,0.0604415742861034,0.8949999999999989,0.6775,17.0,3.0,17.0,17.0,0.9302783622349434,2916.0,33428,Hybrid,6,300,0.25,-1,17.0,4.0,17.0,0.9270025006520994,0.6568243014226349,0.220013069693847
HYB-s7-b300-a0.25,0.61125,101.4118749999962,0.0695919001178159,1.0082499999999988,0.72,17.0,3.0,17.0,17.0,0.9213250877988116,2988.0,30315,Hybrid,7,300,0.25,-1,6.0,4.0,17.0,0.926685456424498,0.6959566228031436,0.2399550458618651
BTO-s2-b300,0.61,105.52249999999609,0.0557142383622536,1.7084999999999977,0.8925,3.0,3.0,3.0,17.0,0.9780720611892694,8.0,31317,BTO,2,300,0.0,-1,3.0,2.0,17.0,0.9720015053439616,0.7048020012895998,0.2466133744749271
HYB-s18-b100-a0.50,0.61,104.51874999999605,0.0819917419433261,0.8842499999999991,0.7175,17.0,4.0,17.0,17.0,0.9036067812054892,2531.0,30836,Hybrid,18,100,0.5,-1,17.0,4.0,17.0,0.9081531118655068,0.7059593694718028,0.2467196647208896
HYB-s6-b200-a0.50,0.60875,108.54862499999588,0.0506263479651619,0.5488749999999996,0.655,17.0,4.0,17.0,17.0,0.913594422576362,4997.0,33399,Hybrid,6,200,0.5,-1,17.0,5.0,17.0,0.8911385965035815,0.6634141425199421,0.2205962468658295
HYB-s2-b300-a0.25,0.60875,103.81437499999606,0.0608259938905583,0.7788749999999992,0.6675,8.0,3.0,8.0,17.0,0.9308302765491548,206.0,30253,Hybrid,2,300,0.25,-1,6.0,4.0,17.0,0.9241307507855608,0.6791909588768864,0.227098071888319
HYB-s16-b300-a0.25,0.6074999999999999,105.98349999999596,0.0639547277982312,0.8722499999999989,0.6875,17.0,3.0,17.0,17.0,0.9149386202148144,3718.0,31694,Hybrid,16,300,0.25,-1,7.0,3.0,17.0,0.926217131207581,0.690226405548644,0.2325087452139297
HYB-s14-b100-a0.25,0.60625,107.9016249999959,0.0502070154137164,0.846499999999999,0.67,17.0,3.0,17.0,17.0,0.9244037361721964,3764.0,31701,Hybrid,14,100,0.25,-1,5.0,4.0,17.0,0.9258588874295398,0.7002812938554589,0.2354474044766032
BTO-s2-b100,0.60625,109.72149999999584,0.058786676246013,1.644874999999998,0.8925,3.0,3.0,3.0,17.0,0.9800987506546897,8.0,32699,BTO,2,100,0.0,-1,3.0,2.0,17.0,0.971653264943348,0.7019039970548969,0.2450887982530339
BTO-s2-b200,0.60625,107.24774999999596,0.0576920943305196,1.645124999999998,0.8925,3.0,3.0,3.0,6.0,0.9844303195997992,8.0,30741,BTO,2,200,0.0,-1,3.0,2.0,17.0,0.971165956472932,0.7078419240934508,0.2413969776691328
HYB-s9-b200-a0.25,0.60625,107.7984999999959,0.0600702540134245,0.971124999999999,0.7025,17.0,3.0,17.0,17.0,0.9307669129552392,2819.0,32848,Hybrid,9,200,0.25,-1,5.0,2.0,17.0,0.939301215231811,0.6798396168340599,0.2270608150300297
HYB-s5-b300-a0.50,0.60375,105.67849999999598,0.0577304618725968,0.5809999999999994,0.65,17.0,5.0,17.0,17.0,0.8894859193045862,3273.0,30193,Hybrid,5,300,0.5,-1,17.0,5.0,17.0,0.8915204932322398,0.6802603958374196,0.2272127894903974
HYB-s13-b300-a0.25,0.6025,103.86862499999609,0.0552358954753736,0.7308749999999992,0.645,5.0,3.0,5.0,17.0,0.93340900936655,32.0,31200,Hybrid,13,300,0.25,-1,7.0,4.0,17.0,0.9184839866623674,0.6727745212901954,0.2203114381734162
BTO-s1-b300,0.60125,108.50387499999592,0.0589771761098239,1.584124999999998,0.8825,3.0,3.0,3.0,17.0,0.96784459239109,8.0,32558,BTO,1,300,0.0,-1,3.0,2.0,17.0,0.9634397011532287,0.7080831155107681,0.2454939653034481
HYB-s8-b200-a0.75,0.6000000000000001,110.84724999999575,0.0434987500696856,0.6429999999999993,0.6225,17.0,17.0,17.0,17.0,0.8970958849670767,3055.0,32780,Hybrid,8,200,0.75,-1,17.0,5.0,17.0,0.885719082712502,0.6945252720668829,0.2457556978846369
HYB-s9-b200-a0.50,0.59875,100.6053749999962,0.0707280049547793,0.7796249999999991,0.67,17.0,3.0,17.0,17.0,0.91409371586972,2264.0,31653,Hybrid,9,200,0.5,-1,17.0,4.0,17.0,0.916435514951782,0.6836288410506683,0.2277269350152694
HYB-s19-b100-a0.75,0.59875,95.78312499999664,0.1398551391015994,1.0394999999999988,0.7325,17.0,17.0,17.0,17.0,0.8635485830507371,4024.0,29299,Hybrid,19,100,0.75,-1,17.0,2.0,17.0,0.9177206059405998,0.726544949766183,0.2978983278474796
