cond,d1,d2,f1,f2,s_even,s_odd
HYB-s4-b100-a0.25,17.0,17.0,0.935678844712001,0.907329764636597,0.61,0.66
HYB-s3-b300-a0.25,17.0,17.0,0.9210570567964229,0.8984401682825659,0.615,0.655
RL-s19-b200-a1.00,17.0,4.0,0.931487237586477,0.9586353913418999,0.6375,0.6325
RL-s13-b200-a1.00,17.0,17.0,0.9202310166403159,0.9072117159662441,0.6175,0.65
HYB-s12-b100-a0.50,17.0,17.0,0.9250769814321292,0.9035109156136445,0.64,0.6275
RL-s18-b100-a1.00,17.0,17.0,0.9241989084005214,0.9017923483117865,0.645,0.6225
RL-s10-b100-a1.00,10.0,17.0,0.9159997796338,0.8806808356650433,0.6275,0.64
HYB-s8-b300-a0.50,17.0,17.0,0.889116656195455,0.9108459442412179,0.625,0.6425
HYB-s15-b300-a0.25,4.0,17.0,0.9540274170305009,0.895051466314817,0.64,0.625
HYB-s13-b100-a0.50,17.0,17.0,0.9287578372251519,0.9198581210101674,0.625,0.64
RL-s0-b100-a1.00,4.0,10.0,0.9508716701279882,0.8813341384898217,0.5875,0.6775
RL-s14-b100-a1.00,17.0,17.0,0.9183604196527188,0.8691432191342525,0.6125,0.65
SHD-s0-b300,8.0,11.0,0.9389252570570124,0.9215215038842978,0.615,0.6475
HYB-s4-b300-a0.25,17.0,17.0,0.898555781924839,0.9176327443309128,0.6225,0.635
RL-s16-b100-a1.00,17.0,12.0,0.9257896911766172,0.9207089733947875,0.605,0.65
RL-s16-b300-a1.00,17.0,17.0,0.9101831631601791,0.8705903070541975,0.63,0.6225
HYB-s2-b200-a0.50,17.0,17.0,0.9201085422331834,0.9080405706807053,0.6275,0.625
RL-s8-b200-a1.00,17.0,6.0,0.9208590437547214,0.9272822455208483,0.6175,0.6325
HYB-s0-b200-a0.50,17.0,17.0,0.913685921619201,0.8919456647933955,0.6225,0.6275
HYB-s4-b200-a0.25,17.0,17.0,0.937550575881805,0.9118016312077533,0.615,0.635
HYB-s11-b300-a0.25,17.0,17.0,0.899977208997144,0.9121563547184189,0.62,0.6275
HYB-s15-b300-a0.50,17.0,17.0,0.9369097835656308,0.915309789001959,0.6325,0.615
HYB-s2-b300-a0.50,17.0,17.0,0.8939344520633299,0.9219899493858456,0.6175,0.63
HYB-s0-b300-a0.50,7.0,17.0,0.9277941234231039,0.9246319436985222,0.6,0.6425
HYB-s13-b200-a0.50,17.0,17.0,0.9353073030933606,0.9211911355283933,0.5825,0.66
RL-s17-b100-a1.00,17.0,7.0,0.913356399021963,0.9097597438262341,0.625,0.615
SHD-s19-b300,17.0,17.0,0.904501039828315,0.9047914399556536,0.63,0.61
HYB-s0-b0-a0.75,3.0,4.0,0.9690606403633082,0.9589404291548316,0.6175,0.6225
HYB-s16-b100-a0.25,17.0,17.0,0.9370622963701216,0.9207009768481401,0.6075,0.6275
HYB-s10-b100-a0.25,17.0,17.0,0.9097214799630123,0.9084499018982645,0.605,0.63
HYB-s14-b200-a0.25,17.0,17.0,0.9122172314057853,0.9118597497446517,0.6075,0.6275
HYB-s13-b100-a0.25,17.0,17.0,0.9251060369599087,0.9076038442161247,0.6025,0.6275
SHD-s6-b300,17.0,17.0,0.9036315419414611,0.907893488574687,0.615,0.615
HYB-s7-b300-a0.50,17.0,17.0,0.9061650777437981,0.9024215876471463,0.605,0.625
HYB-s6-b200-a0.25,17.0,17.0,0.906780118497997,0.89306217169515,0.5975,0.6325
HYB-s15-b100-a0.25,17.0,17.0,0.8996953693193636,0.9169863121769467,0.6075,0.62
HYB-s0-b200-a0.25,7.0,17.0,0.9380623897106815,0.9292498129339786,0.61,0.6175
HYB-s7-b200-a0.50,17.0,17.0,0.905027597705578,0.9065845033942272,0.615,0.6125
HYB-s19-b300-a0.50,17.0,17.0,0.8951455959731515,0.9220164439435861,0.6075,0.62
HYB-s6-b300-a0.25,17.0,17.0,0.9403410327680071,0.9241153867643276,0.615,0.6075
HYB-s7-b300-a0.25,17.0,17.0,0.8878280028909425,0.9221175251394006,0.62,0.6025
BTO-s2-b300,3.0,3.0,0.9706112017737852,0.9755181588549897,0.63,0.59
HYB-s18-b100-a0.50,17.0,17.0,0.8942731682982339,0.8980958624684694,0.6075,0.6125
HYB-s6-b200-a0.50,17.0,17.0,0.9371878120137287,0.9162596570670012,0.625,0.5925
HYB-s2-b300-a0.25,17.0,17.0,0.9163666583840775,0.9367701805035976,0.5925,0.625
HYB-s16-b300-a0.25,17.0,17.0,0.9142301877572558,0.9066090720340386,0.59,0.625
HYB-s14-b100-a0.25,17.0,17.0,0.9005503374412244,0.9332439988180405,0.5975,0.615
BTO-s2-b100,3.0,3.0,0.9811814779657393,0.9673328503588818,0.6075,0.605
BTO-s2-b200,3.0,3.0,0.9734404133926452,0.9586404432186761,0.6025,0.61
HYB-s9-b200-a0.25,17.0,17.0,0.9036714348503913,0.9063604262414057,0.6025,0.61
HYB-s5-b300-a0.50,17.0,17.0,0.9045688837149483,0.9053335973068354,0.605,0.6025
HYB-s13-b300-a0.25,17.0,17.0,0.9347344535548203,0.9419387684146288,0.59,0.615
BTO-s1-b300,3.0,3.0,0.9717472098538454,0.9513329998066548,0.6125,0.59
HYB-s8-b200-a0.75,17.0,17.0,0.8921770656690307,0.8711359815573729,0.59,0.61
HYB-s9-b200-a0.50,17.0,17.0,0.9182975797615704,0.8745683554106898,0.5975,0.6
HYB-s19-b100-a0.75,17.0,17.0,0.872083569253845,0.8425212648542417,0.61,0.5875
HYB-s8-b300-a0.25,17.0,17.0,0.8986287453973595,0.920029281806513,0.5825,0.6125
HYB-s6-b100-a0.50,6.0,17.0,0.9281181195644769,0.9303642445485543,0.595,0.6
SHD-s9-b300,5.0,17.0,0.9462548957473631,0.9130875364570051,0.6025,0.5925
HYB-s6-b100-a0.25,17.0,17.0,0.8969169105907628,0.9481546247916872,0.6025,0.5925
RL-s18-b300-a1.00,9.0,17.0,0.9264747747990728,0.9151524074300272,0.59,0.605
HYB-s17-b300-a0.50,17.0,17.0,0.9157612012492339,0.9066255560595519,0.5725,0.62
HYB-s8-b100-a0.50,17.0,17.0,0.9102267550256005,0.918722842481818,0.61,0.5825
HYB-s19-b100-a0.25,17.0,17.0,0.9162016444323015,0.9030618544057724,0.58,0.61
HYB-s13-b200-a0.25,17.0,17.0,0.9307501236563822,0.9082644442152052,0.5725,0.615
BTO-s0-b300,4.0,5.0,0.954871097595536,0.9412313654473429,0.6125,0.575
BTO-s1-b100,3.0,3.0,0.9614893579305579,0.961210621453557,0.605,0.58
SHD-s11-b300,17.0,17.0,0.902249954931537,0.8757702418097629,0.58,0.605
HYB-s18-b100-a0.25,17.0,17.0,0.9121726283866566,0.9034932523620613,0.585,0.5975
HYB-s9-b300-a0.25,17.0,17.0,0.9260041751093023,0.9055418706680256,0.585,0.595
SHD-s2-b300,17.0,17.0,0.8963109218335434,0.8805070210922429,0.5975,0.58
HYB-s16-b200-a0.50,13.0,17.0,0.9244071354389642,0.9139745145584228,0.5825,0.595
HYB-s18-b300-a0.50,17.0,17.0,0.8956392305012857,0.904268896508607,0.56,0.6175
HYB-s16-b200-a0.25,17.0,17.0,0.9241572597156663,0.920882838509424,0.595,0.5825
BTO-s0-b200,4.0,3.0,0.951447280616197,0.9636648957293114,0.59,0.585
HYB-s8-b200-a0.50,17.0,17.0,0.9016920513658574,0.8955313568543746,0.595,0.5775
HYB-s19-b100-a0.50,17.0,17.0,0.8910997705430483,0.8595929448346832,0.56,0.6125
HYB-s3-b100-a0.75,17.0,17.0,0.9223014163504047,0.9271340361454748,0.5675,0.605
BTO-s0-b100,3.0,4.0,0.9589631190882564,0.9602679619792998,0.585,0.5825
HYB-s18-b200-a0.50,17.0,17.0,0.8870933797259968,0.8871856328496636,0.59,0.5775
HYB-s19-b300-a0.25,17.0,17.0,0.9233079951818385,0.9340275034625412,0.5925,0.5725
HYB-s5-b300-a0.25,17.0,17.0,0.8950184323659645,0.8779611174402947,0.575,0.5875
HYB-s17-b300-a0.25,17.0,17.0,0.9185772806767271,0.9069219307910025,0.575,0.5875
HYB-s3-b200-a0.75,17.0,17.0,0.8970297207084572,0.8836466004439824,0.5775,0.585
SHD-s4-b300,7.0,17.0,0.916405227491732,0.9062136354811997,0.585,0.5725
HYB-s9-b300-a0.50,17.0,17.0,0.9216792656419431,0.9137377157975678,0.575,0.5825
BTO-s1-b200,3.0,4.0,0.973356875238512,0.9568967351823089,0.5875,0.5675
HYB-s11-b100-a0.25,17.0,17.0,0.8995598861564946,0.905957688707705,0.565,0.59
SHD-s7-b300,17.0,17.0,0.8936859021794176,0.9042257846840799,0.595,0.56
HYB-s15-b200-a0.25,17.0,17.0,0.9278439142699373,0.9304415241087824,0.565,0.59
HYB-s15-b200-a0.50,17.0,7.0,0.9135867538688857,0.9305237538452352,0.5625,0.59
HYB-s8-b200-a0.25,17.0,17.0,0.9111647619929528,0.9151619114703208,0.56,0.5925
SHD-s5-b300,17.0,11.0,0.9137909755014174,0.9028214937300872,0.595,0.5575
HYB-s3-b100-a0.25,17.0,17.0,0.9032968715760087,0.8868977731676225,0.5725,0.5775
SHD-s3-b300,17.0,17.0,0.8950181519509194,0.8966848677861105,0.5575,0.59
HYB-s8-b100-a0.25,17.0,17.0,0.9310937575262627,0.917432135632589,0.5625,0.585
HYB-s5-b200-a0.50,17.0,17.0,0.9184254404585885,0.8807717161335031,0.5725,0.575
