cond,d_star_common,d_star_090_common,d_star_099_common,f4_common,coverage_entropy,coverage_std
HYB-s17-b300-a0.50,17.0,6.0,17.0,0.8855075766931755,0.6694089566048393,0.22354800391807372
HYB-s17-b300-a0.75,17.0,17.0,17.0,0.8621117047272182,0.676058228865555,0.22780441141147362
RL-s17-b300-a1.00,17.0,6.0,17.0,0.8615435040935882,0.6724791462167469,0.23307582126027593
HYB-s18-b300-a0.25,17.0,4.0,17.0,0.90410916063803,0.6743390117513678,0.2273848371658707
HYB-s18-b300-a0.50,17.0,17.0,17.0,0.7633151146113323,0.6834596654821494,0.23809516828258956
HYB-s18-b300-a0.75,17.0,17.0,17.0,0.6561677091132551,0.6813173638668416,0.2370174193642211
RL-s18-b300-a1.00,17.0,17.0,17.0,0.6920562305695833,0.6801234727933181,0.25288267697999883
HYB-s19-b300-a0.25,6.0,3.0,17.0,0.9292441302441237,0.6828766433908536,0.22908207832190622
HYB-s19-b300-a0.50,17.0,5.0,17.0,0.894910097785473,0.6695915638880842,0.22544974664465117
HYB-s19-b300-a0.75,17.0,7.0,17.0,0.8818562212037464,0.6699418702551488,0.23221070003506505
RL-s19-b300-a1.00,17.0,5.0,17.0,0.8858368994882773,0.6726540885176094,0.24068039853428724
BTO-s0-b100,4.0,2.0,17.0,0.9556634058499918,0.707872879591197,0.2443154772284858
BTO-s0-b200,5.0,2.0,17.0,0.9439628646779258,0.7108645816287342,0.2494405489086695
BTO-s0-b300,5.0,2.0,17.0,0.9398672995632775,0.7114902607698641,0.24764466325267082
BTO-s1-b100,4.0,2.0,17.0,0.9563367724781922,0.7117581431027591,0.24839186444124406
BTO-s1-b200,4.0,2.0,17.0,0.9568706727726336,0.7079591250631599,0.2430939536104072
BTO-s1-b300,3.0,2.0,17.0,0.9634397011532287,0.7080831155107681,0.24549396530344814
BTO-s2-b100,3.0,2.0,17.0,0.9716532649433479,0.7019039970548969,0.24508879825303398
BTO-s2-b200,3.0,2.0,17.0,0.971165956472932,0.7078419240934508,0.2413969776691328
BTO-s2-b300,3.0,2.0,17.0,0.9720015053439615,0.7048020012895998,0.24661337447492715
SHD-s0-b300,17.0,6.0,17.0,0.8658450892834724,0.7053287541472978,0.249338322311581
SHD-s1-b300,17.0,7.0,17.0,0.8455445371609818,0.7218004481905722,0.287541748029127
SHD-s2-b300,17.0,8.0,17.0,0.7879189791385235,0.6789393576916692,0.24321989979207898
SHD-s3-b300,17.0,9.0,17.0,0.8265710180922274,0.6762092890535646,0.22763522707834816
SHD-s4-b300,17.0,8.0,17.0,0.8372677995772361,0.6812595412700796,0.2813324332003413
SHD-s5-b300,17.0,7.0,17.0,0.8419937460464799,0.6828415456290081,0.24083416362752016
SHD-s6-b300,17.0,7.0,17.0,0.80359591320234,0.6758397380527308,0.26505554806320564
SHD-s7-b300,17.0,7.0,17.0,0.8311241874800334,0.6825564068367633,0.23885854656786548
SHD-s8-b300,17.0,9.0,17.0,0.8025651368385047,0.6782701698884221,0.23497508516560348
SHD-s9-b300,17.0,7.0,17.0,0.8342536952091234,0.6685781239875166,0.2256949875630721
SHD-s10-b300,17.0,9.0,17.0,0.7633105756531281,0.734185196094191,0.3447293394884738
SHD-s11-b300,17.0,6.0,17.0,0.8673907247193337,0.6971038150798194,0.23323592995132292
SHD-s12-b300,17.0,8.0,17.0,0.826197974570818,0.6729619008909237,0.2459357788106901
SHD-s13-b300,17.0,11.0,17.0,0.7285534005574826,0.68309123478082,0.2518930371451918
SHD-s14-b300,12.0,6.0,17.0,0.8663693776366398,0.7033313976237389,0.2581533110921456
SHD-s15-b300,17.0,7.0,17.0,0.8488547876041748,0.6891039475447732,0.24790086791956914
SHD-s16-b300,17.0,11.0,17.0,0.8018346348634595,0.6967344455972588,0.2464648901568977
SHD-s17-b300,17.0,8.0,17.0,0.7996785502818774,0.6819889405867763,0.24121825315295412
SHD-s18-b300,17.0,17.0,17.0,0.6362034824638237,0.6660437380537703,0.25309622862706105
SHD-s19-b300,17.0,7.0,17.0,0.8395184479844279,0.6810441222083836,0.23852960290756092
PPO-s0-b500000,6.0,4.0,17.0,0.9228882465275118,0.5428040800655316,0.26385641952253175
PPO-s0-b1000000,9.0,6.0,17.0,0.8323013277531792,0.4483453817382478,0.31787882209937907
PPO-s0-b1500000,8.0,5.0,17.0,0.8668590748727827,0.46526735893386234,0.3400723582400982
PPO-s1-b500000,8.0,5.0,17.0,0.8561723298130568,0.5239917398083136,0.266325615328432
PPO-s1-b1000000,12.0,8.0,17.0,0.7569970158340618,0.4752485230576203,0.25909136797141297
PPO-s1-b1500000,9.0,5.0,17.0,0.8691591867641502,0.3490058919547033,0.2978424921172853
