cond,score,surv_time,viol_total,wez_time,score_heldout,d_star,d_star_090,d_star_095,d_star_099,fidelity_at_4,n_leaves,n_samples,family
HYB-s4-b100-a0.25,0.635,103.51387499999609,0.07627097545533049,1.1061249999999987,0.755,17.0,3.0,17.0,17.0,0.9163177606888075,4307.0,31972,Hybrid
HYB-s3-b300-a0.25,0.635,105.92362499999601,0.07407083255897391,1.1561249999999987,0.74,17.0,4.0,17.0,17.0,0.9201465038307047,3048.0,32311,Hybrid
RL-s0-b100-a1.00,0.6325,97.24637499999656,0.12945023650889725,1.5942499999999982,0.815,8.0,3.0,8.0,17.0,0.9204671500785542,215.0,29091,RL
HYB-s4-b300-a0.25,0.62875,105.18337499999602,0.07770539674159294,1.0061249999999986,0.7125,7.0,3.0,7.0,17.0,0.9187953769945288,114.0,30816,Hybrid
HYB-s2-b200-a0.50,0.62625,105.35912499999598,0.06330167648550866,0.7994999999999991,0.685,17.0,4.0,17.0,17.0,0.9129101854075468,3710.0,30590,Hybrid
HYB-s4-b200-a0.25,0.625,100.64499999999629,0.09384838828348895,1.1206249999999984,0.725,17.0,3.0,17.0,17.0,0.9186590733873239,3759.0,30372,Hybrid
HYB-s0-b200-a0.50,0.625,106.24587499999596,0.06031257995035694,0.7947499999999992,0.7,11.0,4.0,11.0,17.0,0.9044512892323534,730.0,30794,Hybrid
HYB-s2-b300-a0.50,0.62375,104.36837499999599,0.05831076938267679,0.4158749999999998,0.6525,17.0,4.0,17.0,17.0,0.9045914203631876,3737.0,28721,Hybrid
HYB-s0-b300-a0.50,0.62125,108.63124999999582,0.05664501840426316,0.5098749999999996,0.6425,6.0,3.0,6.0,17.0,0.9360953472580681,63.0,32079,Hybrid
HYB-s0-b0-a0.75,0.62,104.54687499999609,0.09633652872139783,1.4192499999999983,0.8075,3.0,1.0,3.0,17.0,0.9669414511098692,8.0,30583,Hybrid
HYB-s7-b300-a0.50,0.615,107.75699999999591,0.05618253710685389,0.792874999999999,0.67,17.0,4.0,17.0,17.0,0.9088033788885204,4062.0,33184,Hybrid
HYB-s6-b200-a0.25,0.615,102.93899999999614,0.06743515991725503,0.9432499999999988,0.705,17.0,3.0,17.0,17.0,0.920482767334806,3531.0,32929,Hybrid
HYB-s0-b200-a0.25,0.61375,105.46562499999601,0.06815179241794327,0.9437499999999986,0.7175,5.0,3.0,5.0,17.0,0.9320590267024785,32.0,30946,Hybrid
HYB-s7-b200-a0.50,0.61375,106.117374999996,0.07582348576222334,0.9246249999999989,0.7325,17.0,4.0,17.0,17.0,0.9005422060376427,3466.0,31550,Hybrid
HYB-s6-b300-a0.25,0.6112500000000001,106.58349999999596,0.06044157428610347,0.8949999999999989,0.6775,17.0,3.0,17.0,17.0,0.9302783622349434,2916.0,33428,Hybrid
HYB-s7-b300-a0.25,0.61125,101.4118749999962,0.06959190011781594,1.0082499999999988,0.72,17.0,3.0,17.0,17.0,0.9213250877988115,2988.0,30315,Hybrid
HYB-s2-b300-a0.25,0.60875,103.81437499999606,0.060825993890558344,0.7788749999999992,0.6675,8.0,3.0,8.0,17.0,0.9308302765491548,206.0,30253,Hybrid
HYB-s6-b200-a0.50,0.60875,108.54862499999587,0.0506263479651619,0.5488749999999996,0.655,17.0,4.0,17.0,17.0,0.913594422576362,4997.0,33399,Hybrid
HYB-s5-b300-a0.50,0.60375,105.67849999999598,0.057730461872596825,0.5809999999999994,0.65,17.0,5.0,17.0,17.0,0.8894859193045862,3273.0,30193,Hybrid
HYB-s6-b100-a0.50,0.5975,106.50649999999595,0.05427223282233183,0.5239999999999996,0.645,6.0,3.0,6.0,17.0,0.9364328187150734,64.0,33500,Hybrid
HYB-s6-b100-a0.25,0.5974999999999999,103.6562499999961,0.061983267634114846,0.8979999999999988,0.6675,6.0,3.0,6.0,17.0,0.9268633345163689,63.0,32394,Hybrid
