cond,opponent,n_seeds,score,score_lo,score_hi,pure_winrate,draw_rate,wez_time,damage,surv_time,viol_deck,viol_over_g,viol_total
RL-s10-b300-a1.00,BT-v2,100,0.555,0.4573588254505884,0.6485718897466433,0.5654761904761905,0.16,1.1644999999999994,29.1125,174.73025000000996,0.05717316864274509,0.0558248100954491,0.12825014144301072
RL-s18-b300-a1.00,BT-v2,100,0.535,0.4377639228389448,0.6296465322865663,0.5522388059701493,0.33,0.4479999999999999,11.2,220.55900000001813,0.006118749999999999,0.02095535419322061,0.032277005097109096
BT-v2,BT-v2,100,0.5,0.4038315303659957,0.5961684696340044,0.5,0.1,0.20724999999999982,5.18125,121.47549999999879,0.18985396867191087,0.0349024340434815,0.2328811760672705
RL-s4-b300-a1.00,BT-v2,100,0.4825,0.38703565747630586,0.5792591149609384,0.480225988700565,0.115,0.7362499999999993,18.40625,212.63025000001463,0.04927288317072976,0.015465113995590163,0.0766994474161301
RL-s16-b300-a1.00,BT-v2,100,0.445,0.3514281102533568,0.5426411745494115,0.436046511627907,0.14,0.22375000000000003,5.59375,179.15425000000852,0.12889069734359287,0.0256105367436801,0.15990241794063997
RL-s14-b300-a1.00,BT-v2,100,0.2875,0.2079558320280061,0.3827664047099627,0.26519337016574585,0.095,0.45599999999999985,11.4,132.562499999999,0.20161051172010583,0.08553997359930529,0.29773526341154316
RL-s2-b300-a1.00,BT-v2,100,0.27,0.1926958414957634,0.36432116767945,0.25,0.08,0.5247499999999999,13.11875,211.52575000001497,0.007557466459013569,0.01895877358106151,0.03530387710336054
BT-v1,BT-v2,100,0.2525,0.17759566291181778,0.34571611870064006,0.019417475728155338,0.485,0.013000000000000001,0.325,192.53500000001532,0.0034591408372228183,0.0,0.005922062570711262
BT-v3,BT-v2,100,0.045,0.018552563721717655,0.10511151964663928,0.005434782608695652,0.08,0.1685,4.2125,110.9319999999972,0.0,0.0,0.006299674413061971
BTO-s0-b300,BT-v2,100,0.0425,0.017094350274365584,0.10175470058502632,0.020942408376963352,0.045,0.2559999999999999,6.4,130.84199999999902,0.0,0.05228866443212975,0.058963290793669174
BTO-s2-b300,BT-v2,100,0.0275,0.008995052578470287,0.08096380322713118,0.010362694300518135,0.035,0.25599999999999995,6.4,135.40374999999915,0.0,0.053850970364942026,0.06073449255884654
BTO-s1-b300,BT-v2,100,0.02,0.00550196755016235,0.0700117907285439,0.005154639175257732,0.03,0.23149999999999993,5.7875,132.14624999999836,0.0,0.06155609998865876,0.06672994917904954
BTO-s1-b300,BT-v3,100,0.985,0.937588019394406,0.9965282873448176,1.0,0.03,3.847249999999994,96.18125,121.04549999999739,0.0,0.04388587626132224,0.05178166999255243
BTO-s0-b300,BT-v3,100,0.975,0.9226360116994959,0.9922201650038677,1.0,0.05,3.8012499999999942,95.03125,112.78074999999689,0.0,0.04167605422710987,0.049034118414063625
BTO-s2-b300,BT-v3,100,0.975,0.9226360116994959,0.9922201650038677,0.9896907216494846,0.03,3.838499999999994,95.9625,114.1524999999971,0.0,0.038124762602477866,0.04668524209326502
RL-s14-b300-a1.00,BT-v3,100,0.9675,0.9119653425414087,0.9884457366350596,0.9746192893401016,0.015,3.817749999999994,95.44375,137.1834999999998,0.0,0.07752274810305847,0.08895415208370584
BT-v2,BT-v3,100,0.955,0.8948884803533607,0.9814474362782822,0.9945652173913043,0.08,3.661499999999994,91.5375,110.9319999999972,0.0,0.047423286475265024,0.05372296088832699
RL-s11-b300-a1.00,BT-v3,100,0.9175,0.8469306464359693,0.9571797825611976,0.9513513513513514,0.075,3.4324999999999948,85.8125,161.09450000000325,0.005116666666666667,0.022796656232345804,0.039350329963521065
RL-s12-b300-a1.00,BT-v3,100,0.89,0.8136870349691968,0.9374580364293543,0.9239130434782609,0.08,3.392749999999995,84.81875,166.40475000000467,0.0,0.020711885655490744,0.045103256566352175
